size,RMSE
1000,1.0775061004253512
10000,1.0723471455765567
50000,1.0421333622273186
100000,1.033796717143929
500000,1.007499672437501
1000000,0.99621488791203
2000000,0.9846119987922692
3000000,0.9773343693849604
4000000,0.9714647927029487
5000000,0.9650173108483064
6000000,0.9596710394208378
7000000,0.9527737502105605
8000000,0.946551489571577
9000000,0.9401275941647884
10000000,0.9341848838982918
11000000,0.9290463655270675
12000000,0.9239931421105749
13000000,0.9196651871243811
14000000,0.9156514772832164
15000000,0.9112880171153943
16000000,0.9074106169557926
17000000,0.9032306791500124
18000000,0.9001695557938891
19000000,0.8963161596506786
20000000,0.8924209687213768
21000000,0.8893057791197421
22000000,0.8857527460700579
23000000,0.8836435441131513
24000000,0.8801327391877822
25000000,0.8778884490963157
